name,isolate,host,country,date,SOURCE,latitude,longitude,coordinates,coordinate_loc,coordinate_comment,general_comment,ACE2,submission_date
KF294457.1,Longquan-140,Rhinolophus monoceros,Zhejiang,2012,10.1016/j.virol.2017.03.019,28.07669997,119.1394854,"28.076699974144574, 119.13948539295212",Longquan,,,N,2013.4738584474885
KF569996.1,LYRa11,Rhinolophus affinis,Yunnan,2011,10.1128/JVI.00631-14,25.25125189,99.11107516,"25.251251890152414, 99.11107516062106","Baoshan, Yunnan",,,Y,2013.6382420091325
KC881006.1,Rs3367,Rhinolophus sinicus,Yunnan,2012-03-19,10.1038/nature12711,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,,2013.2656392694064
KF367457.1,WIV1,Rhinolophus sinicus,Yunnan,2012-09,10.1038/nature12711,24.88310543,102.8215365,"24.88310543031881, 102.82153645198403",Kunming,,,,2013.5149543379
DQ648857.1,BtCoV/279/2005,Rhinolophus macrotis,Hubei,2004,10.1128/JVI.00697-06,31.695111423993936,111.07961660868963,"31.695111423993936, 111.07961660868965",Hubei,province-level,,N,2006.3889269406395
MG772933.1,bat-SL-CoVZC45,Rhinolophus pusillus,Zhejiang,2017-02,10.1038/s41426-018-0155-5,29.99128034,122.1944505,"29.99128034348341, 122.19445047566558",Zhoushan,,,N,2018.0109589041097
MG772934.1,bat-SL-CoVZXC21,Rhinolophus pusillus,Zhejiang,2015-07,10.1038/s41426-018-0155-5,29.99128034,122.1944505,"29.99128034348341, 122.19445047566558",Zhoushan,,,,2018.0109589041097
MT040333.1,PCoV_GX-P4L,Manis javanica,Guangxi,2017,10.1038/s41586-020-2169-0,23.803076500000003,110.7481393,"23.80307649605036, 110.74813931498792",Guangxi,province-level,,,2020.103825136612
MT040334.1,PCoV_GX-P1E,Manis javanica,Guangxi,2017,10.1038/s41586-020-2169-0,23.803076500000003,110.7481393,"23.80307649605036, 110.74813931498792",Guangxi,province-level,,Y,2020.103825136612
MT040335.1,PCoV_GX-P5L,Manis javanica,Guangxi,2017,10.1038/s41586-020-2169-0,23.803076500000003,110.7481393,"23.80307649605036, 110.74813931498792",Guangxi,province-level,,,2020.103825136612
MT040336.1,PCoV_GX-P5E,Manis javanica,Guangxi,2017,10.1038/s41586-020-2169-0,23.803076500000003,110.7481393,"23.80307649605036, 110.74813931498792",Guangxi,province-level,,,2020.103825136612
MT072864.1,PCoV_GX-P2V,Manis javanica,Guangxi,2018,10.1038/s41586-020-2169-0,23.803076500000003,110.7481393,"23.80307649605036, 110.74813931498792",Guangxi,province-level,,,2020.1174863387976
JX993987.1,Rp/Shaanxi2011,Rhinolophus pusillus,Shaanxi,2011-09,10.3201/eid1906.121648,36.02900378,109.643279,"36.02900377727876, 109.64327897356466",Shaanxi,province-level,,N,2012.8086293260476
KU973692.1,F46,Rhinolophus pusillus,Yunnan,2012,10.1038/emi.2016.140,24.3949677,98.51836864,"24.39496769562519, 98.51836864225497",Mangshi,,,N,2016.226662112933
JX993988.1,Cp/Yunnan2011,Chaerephon plicata,Yunnan,2011,10.3201/eid1906.121648,24.26621094,101.4905298,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,N,2012.8086293260476
DQ071615.1,Rp3,Rhinolophus pearsoni,Guangxi,2004-12,10.1126/science.1118391,22.859655983680145,108.35581145802244,"22.859655983680142, 108.35581145802243",Nanning,,,N,2005.3889269406395
FJ588686.1,Rs672,Rhinolophus sinicus,Guizhou,2006,10.1099/vir.0.016378-0,27.527048807109463,107.59901736825704,"27.527048807109463, 107.59901736825705",Guizhou,province-level,,,2008.96174863388
AY394995.1,HSZ-Cc,Homo sapiens,Guangdong,2002-12,10.1126/science.1092002,23.18938968023,113.22208821094604,"23.189389680229997, 113.22208821094603",Guangzhou,,,Y,2003.7149543379
KY417147.1,Rs4237,Rhinolophus sinicus,Yunnan,2013-04-17,10.1371/journal.ppat.1006698,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,,2016.9945355191255
KJ473816.1,BtRs-YN2013,Rhinolophus sinicus,Yunnan,2013,10.1093/infdis/jiv476,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,,2014.1397260273973
MK211378.1,BtRs-BetaCoV/YN2018D,Rhinolophus sinicus,Yunnan,2016-09,10.3389/fmicb.2019.01900,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,species correction: https://www.frontiersin.org/articles/10.3389/fmicb.2020.597510/full,,2018.8876712328768
MK211375.1,BtRs-BetaCoV/YN2018A,Rhinolophus sinicus,Yunnan,2016-09,10.3389/fmicb.2019.01900,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,species correction: https://www.frontiersin.org/articles/10.3389/fmicb.2020.597510/full,,2018.8876712328768
MK211376.1,BtRs-BetaCoV/YN2018B,Rhinolophus sinicus,Yunnan,2016-09,10.3389/fmicb.2019.01900,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,species correction: https://www.frontiersin.org/articles/10.3389/fmicb.2020.597510/full,,2018.8876712328768
KY417150.1,Rs4874,Rhinolophus sinicus,Yunnan,2013-07-21,10.1371/journal.ppat.1006698,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,,2016.9945355191255
KT444582.1,WIV16,Rhinolophus sinicus,Yunnan,2013-07-21,10.1128/JVI.02582-15,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,,2015.6300228310504
KY417143.1,Rs4081,Rhinolophus sinicus,Yunnan,2012-09-18,10.1038/nature12711,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,N,2016.9945355191255
KC881005.1,RsSHC014,Rhinolophus sinicus,Yunnan,2011-04-17,10.1038/nature12711,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,,2013.2656392694064
KY770858.1,Anlong-103,Rhinolophus sinicus,Guizhou,2013,10.1016/j.virol.2017.03.019,25.095474745049195,105.4353960325423,"25.095474745049195, 105.43539603254231",Anlong,,,N,2017.194406392694
KY770859.1,Anlong-112,Rhinolophus sinicus,Guizhou,2013,10.1016/j.virol.2017.03.019,25.095474745049195,105.4353960325423,"25.095474745049195, 105.43539603254231",Anlong,,,,2017.194406392694
KY417148.1,Rs4247,Rhinolophus sinicus,Yunnan,2013-04-17,10.1371/journal.ppat.1006698,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,,2016.9945355191255
KY417146.1,Rs4231,Rhinolophus sinicus,Yunnan,2013-04-17,10.1371/journal.ppat.1006698,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,,2016.9945355191255
KY417149.1,Rs4255,Rhinolophus sinicus,Yunnan,2013-04-17,10.1371/journal.ppat.1006698,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,N,2016.9945355191255
KY417151.1,Rs7327,Rhinolophus sinicus,Yunnan,2014-10-24,10.1371/journal.ppat.1006698,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,,2016.9945355191255
KY417142.1,As6526,Aselliscus stoliczkanus,Yunnan,2014-05-12,10.1371/journal.ppat.1006698,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,N,2016.9945355191255
KY417144.1,Rs4084,Rhinolophus sinicus,Yunnan,2012-09-18,10.1371/journal.ppat.1006698,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,Y,2016.9945355191255
KY417152.1,Rs9401,Rhinolophus sinicus,Yunnan,2015-10-16,10.1371/journal.ppat.1006698,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,,2016.9945355191255
KY417145.1,Rf4092,Rhinolophus ferrumequinum,Yunnan,2012-09-18,10.1371/journal.ppat.1006698,24.883105430318807,102.82153645198404,"24.88310543031881, 102.82153645198403",Kunming,,,,2016.9945355191255
MK211377.1,BtRs-BetaCoV/YN2018C,Rhinolophus sinicus,Yunnan,2016-09,10.3389/fmicb.2019.01900,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,species correction: https://www.frontiersin.org/articles/10.3389/fmicb.2020.597510/full,,2018.8876712328768
GQ153544.1,HKU3-9,Rhinolophus sinicus,Guangdong,2006-08-28,10.1128/JVI.02219-09,22.3334297,114.1770884,"22.33342970394504, 114.17708843455159",Hong Kong,,,,2009.3615296803653
GQ153545.1,HKU3-10,Rhinolophus sinicus,Guangdong,2006-08-28,10.1128/JVI.02219-09,22.3334297,114.1770884,"22.33342970394504, 114.17708843455159",Hong Kong,,,,2009.3615296803653
GQ153548.1,HKU3-13,Rhinolophus sinicus,Guangdong,2007-11-15,10.1128/JVI.02219-09,22.3334297,114.1770884,"22.33342970394504, 114.17708843455159",Hong Kong,,,,2009.3615296803653
GQ153546.1,HKU3-11,Rhinolophus sinicus,Guangdong,2007-03-07,10.1128/JVI.02219-09,22.3334297,114.1770884,"22.33342970394504, 114.17708843455159",Hong Kong,,,,2009.3615296803653
GQ153540.1,HKU3-5,Rhinolophus sinicus,Guangdong,2005-09-20,10.1128/JVI.02219-09,22.3334297,114.1770884,"22.33342970394504, 114.17708843455159",Hong Kong,,,,2009.3615296803653
GQ153542.1,HKU3-7,Rhinolophus sinicus,Guangdong,2006-02-15,10.1128/JVI.02219-09,22.3334297,114.1770884,"22.33342970394504, 114.17708843455159",Hong Kong,,,,2009.3615296803653
DQ084199.1,HKU3-2,Rhinolophus sinicus,Guangdong,2005-02-24,10.1128/JVI.02219-09,22.3334297,114.1770884,"22.33342970394504, 114.17708843455159",Hong Kong,,,,2005.419063926941
GQ153547.1,HKU3-12,Rhinolophus sinicus,Guangdong,2007-05-15,10.1128/JVI.02219-09,22.3334297,114.1770884,"22.33342970394504, 114.17708843455159",Hong Kong,,,,2009.3615296803653
GQ153539.1,HKU3-4,Rhinolophus sinicus,Guangdong,2005-09-20,10.1128/JVI.02219-09,22.3334297,114.1770884,"22.33342970394504, 114.17708843455159",Hong Kong,,,,2009.3615296803653
GQ153541.1,HKU3-6,Rhinolophus sinicus,Guangdong,2005-12-16,10.1128/JVI.02219-09,22.3334297,114.1770884,"22.33342970394504, 114.17708843455159",Hong Kong,,,,2009.3615296803653
DQ022305.2,HKU3-1,Rhinolophus sinicus,Guangdong,2005-02-17,10.1128/JVI.02219-09,22.3334297,114.1770884,"22.33342970394504, 114.17708843455159",Hong Kong,,,N,2005.3231735159816
DQ084200.1,HKU3-3,Rhinolophus sinicus,Guangdong,2005-03-17,10.1128/JVI.02219-09,22.3334297,114.1770884,"22.33342970394504, 114.17708843455159",Hong Kong,,,,2005.419063926941
GQ153543.1,HKU3-8,Rhinolophus sinicus,Guangdong,2006-02-15,10.1128/JVI.02219-09,22.3334297,114.1770884,"22.33342970394504, 114.17708843455159",Hong Kong,,,,2009.3615296803653
KP886808.1,YNLF_31C,Rhinolophus ferrumequinum,Yunnan,2013-05-23,,25.14915365,102.0748286,"25.149153645782288, 102.07482857136728",Lufeng,,,,2015.169863013699
KJ473814.1,BtRs-HuB2013,Rhinolophus sinicus,Hubei,2013,10.1038/ismej.2015.138,31.21313842,112.0009523,"31.213138424690648, 112.00095227509493",Hubei,province-level,,,2014.1397260273973
KJ473815.1,BtRs-GX2013,Rhinolophus sinicus,Guangxi,2013,10.1093/infdis/jiv476,24.406060999842317,111.56341552729944,"24.406060999842314, 111.56341552729944",Hezhou,,,,2014.1397260273973
MK211374.1,BtRl-BetaCoV/SC2018,Rhinolophus sp.,Sichuan,2016-08,10.3389/fmicb.2019.01900,31.34931671010588,102.62903716097208,"31.34931671010588, 102.62903716097208",Sichuan,province-level,,,2018.8876712328768
KJ473812.1,BtRf-HeB2013,Rhinolophus ferrumequinum,Hebei,2013,10.1093/infdis/jiv476,39.04257009016735,115.30952951168858,"39.042570090167345, 115.30952951168858",Hebei,province-level,,,2014.1397260273973
KJ473813.1,BtRf-SX2013,Rhinolophus ferrumequinum,Shanxi,2013,10.1093/infdis/jiv476,37.02145899010558,112.32092475914772,"37.02145899010558, 112.32092475914773",Shanxi,province-level,,,2014.1397260273973
DQ412042.1,Rf1,Rhinolophus ferrumequinum,Hubei,2004-11,10.1126/science.1118391,30.693192888459222,111.29423882047676,"30.693192888459226, 111.29423882047675",Yichang,,,,2006.1397260273973
KY770860.1,Jiyuan-84,Rhinolophus ferrumequinum,Henan,2012,10.1016/j.virol.2017.03.019,35.08167677437168,112.61288458828017,"35.08167677437168, 112.61288458828015",Jiyuan,,,,2017.194406392694
KP886809.1,YNLF_34C,Rhinolophus ferrumequinum,Yunnan,2013-05-23,,25.14915365,102.0748286,"25.149153645782288, 102.07482857136728",Lufeng,,,,2015.169863013699
KU182964.1,JTMC15,Rhinolophus ferrumequinum,Jilin,2013-08,10.1007/s12250-016-3727-3,41.729835979495256,125.9382598104726,"41.729835979495256, 125.93825981047259","Tonghua, Jilin",,,N,2015.8876712328768
DQ412043.1,Rm1,Rhinolophus macrotis,Hubei,2004-11,10.1126/science.1118391,30.693192888459222,111.29423882047676,"30.693192888459226, 111.29423882047675",Yichang,,,,2006.1397260273973
KJ473811.1,BtRf-JL2012,Rhinolophus ferrumequinum,Jilin,2012,,43.22913974,126.9370081,"43.22913973588956, 126.93700811740007",Jilin,province-level,,,2014.1397260273973
MW251308.1,RacCS203,Rhinolophus acuminatus,Thailand,2020-06-19,10.1038/s41467-021-21240-1,13.6963003,101.12112890000002,"13.696300303409638, 101.12112892356872",Chachoengsao,,,N,2020.863387978142
LC556375.1,Rc-o319,Rhinolophus cornutus,Japan,2013,10.3201/eid2612.203386,39.4579663,141.3566069,"39.45796629633173, 141.35660691624267",Iwate,,,N,2020.456170309654
MZ081381.1,bat/Yunnan/RpYN06/2020,Rhinolophus pusillus,Yunnan,2020-05-25,10.1016/j.cell.2021.06.008,21.47195673,101.556792,"21.471956729071447, 101.55679203892701",Mengla,,,,2021.3231735159816
MW703458.1,PrC31,Rhinolophus pusillus,Yunnan,2018-08,10.1080/22221751.2021.1964925,24.26621094,101.4905298,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,,2021.169863013699
MZ937002.1,BANAL-20-116/Laos/2020,Rhinolophus malayanus,Laos,2020-07-07,10.21203/rs.3.rs-871965/v1,18.66585993222259,102.14923141373971,"18.665859932222595, 102.14923141373973","Fueng​​​ District​, Vientiane Province ",,,,2021.6519406392692
MZ937004.1,BANAL-20-247/Laos/2020,Rhinolophus malayanus,Laos,2020-07-10,10.21203/rs.3.rs-871965/v1,18.66585993222259,102.14923141373971,"18.665859932222595, 102.14923141373973","Fueng​​​ District​, Vientiane Province ",,,,2021.6519406392692
OK017812.1,GD2016B,Rhinolophus sinicus,Guangdong,2016-07,10.21203/rs.3.rs-885194/v1,23.86367166708743,115.13543046617524,"23.863671667087427, 115.13543046617524",Guangdong,province-level,,,2021.662899543379
OK017847.1,YN2016A,Rhinolophus sinicus,Yunnan,2016-08,10.21203/rs.3.rs-885194/v1,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,,2021.662899543379
OK017848.1,YN2016B,Rhinolophus sinicus,Yunnan,2016-08,10.21203/rs.3.rs-885194/v1,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,,2021.662899543379
OK017849.1,YN2016C,Rhinolophus sinicus,Yunnan,2016-08,10.21203/rs.3.rs-885194/v1,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,,2021.662899543379
OK017850.1,YN2016D,Rhinolophus sinicus,Yunnan,2016-08,10.21203/rs.3.rs-885194/v1,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,,2021.662899543379
OK017851.1,YN2016E,Rhinolophus sinicus,Yunnan,2016-08,10.21203/rs.3.rs-885194/v1,24.2662109374504,101.49052981981724,"24.266210937450396, 101.49052981981725",Yunnan,province-level,,,2021.662899543379
